lon,lat,street,pano_id
-73.99997279,40.65539711,5 AV,foq4qnsIAEsgqkIyqmwT5g
-73.97918753,40.755164,5 AV,dmw2P0ExW7HZdzZRgKFcWw
-73.98407851,40.74980649,5 AV,qVk4GWF7R2AG2RW-rAgkbw
-73.96475781,40.77498187,5 AV,tQwb9cohTi0dxH5DRnRItg
-73.9818638,40.75151063,5 AV,15fI9sLXS09nMjaUie-nhA
-73.97533814,40.76173347,5 AV,TAhKmMfAex974GGcmXr_8g
-73.976409,40.75913203,5 AV,CEUunOcW24W0vxYSl8fp8w
-73.97544704,40.7603604,5 AV,aw5JfnE2TnnIQ6bbFRvv7w
-73.98213012,40.75089975,5 AV,AIWc3U4Ac3YqK9g9NcDfTw
-73.97771749,40.75722068,5 AV,J_TvAG2_7i5Pp-BTq1uqhw
-73.96032318,40.78130608,5 AV,wudo-P096hltr30Ge3Mq-w
-73.99299304,40.737306,5 AV,l2ev1ocXBsNxvf7YIzWGhQ
-73.96235715,40.77824643,5 AV,nxduhHMBPDNPXU5ykYueTQ
-73.99474876,40.7338046,5 AV,qUAyBRT4_xiyRNnIdPd_Tg
-73.9845184,40.74818124,5 AV,TxDwPVZngAEcxHl-HKN_GQ
-73.94468074,40.80260884,5 AV,lXJkxPyoB-JTPV0BIyragA
-73.9799362,40.7540763,5 AV,jJDrnygzb3thpSw79U-8_A
-73.97519242,40.76249419,5 AV,aKF6B9MC0pCXTzQiRSLsRA
-73.97874138,40.75580174,5 AV,UvB19p_XETDt_R2WRIbifg
-73.97509374,40.76081887,5 AV,s8VBmEzRK-_Yif_XGbDG_Q
-73.97654389,40.75978713,5 AV,3Ybbg-fr27UCUt5X3OvdcQ
-73.97945517,40.75446597,5 AV,EYku_OaFkXFrMlPuG5RZWA
-73.9777794,40.75703769,5 AV,Fr-BA-Hckc8yMYhlB_7PRA
-73.97810177,40.7565727,5 AV,DnkWidDBSrFCbQGY7NRR8w
-73.97178319,40.76549591,5 AV,45-s6eXlNHwPs-9ftYGUiA
-73.95237556,40.79131189,5 AV,29pFlVD6t0qoF1rOxWMdVw
-73.9955074,40.73411305,5 AV,CDpgkZqvl0f1dLD4wj8Erw
-74.0250454,40.62280146,5 AV,ZJ26CXA84xuqoeSibGxp2g
-73.96562091,40.77369515,5 AV,3S4h43LSvCQy3FuQXjEQiA
-73.95689999,40.78574379,5 AV,622KWzcNErQyGAFqCmJpSQ
-73.98602882,40.74887441,5 AV,pmQWcKFCQw_85vfW2Uowbw
-73.99632375,40.73289187,5 AV,AP9lPmcgrvGcV7X2aIxbUw
-73.96152959,40.77955844,5 AV,n-27yxY5QE85tx40WgVFCA
-73.98837086,40.6660694,5 AV,K6nQNCd2U_eJlFbmEW8WSQ
-73.9763654,40.75807414,5 AV,OAHTgDOttZh0dD-RsrDsoQ
-73.98241731,40.75233484,5 AV,V-eNaXs9Jq8YrOOEfZWnnQ
-73.97850429,40.75588381,5 AV,lVtj5oJwrekP-h5Kzgvd_g
-73.94047696,40.80829664,5 AV,juxx5p7Sjfu7ZALEocMkOw
-73.97902351,40.75696016,5 AV,83rUxEZyefI62Clwie0ndg
-73.9363689,40.81499436,5 AV,R6P5AneEYveYCNjJ_uR09w
-73.96284672,40.77761685,5 AV,6PXPzfV1k149b-8jPLSk2Q
-73.97095605,40.76656473,5 AV,4ywd1amNycPgNmeidhRgyg
-73.97641964,40.76054893,5 AV,jamJDC9Say0de8LdjIFmTQ
-73.97127687,40.76609863,5 AV,E-HQrfOvsQrkJg6bSAnIlA
-73.96842253,40.76980274,5 AV,TIGdMoZV4rbu5Qd-3iWqQA
-73.96321056,40.77702621,5 AV,QSGApTh8Qc3fjd17QEIBew
-73.97047319,40.7671726,5 AV,LRqo1h17SPFE-1rGsdY7zA
-73.96624636,40.7729071,5 AV,X01uEk1KjOlzUawqEGtn1w
-73.968988,40.76922432,5 AV,UaBWQyy77eSxwbJbpZwrbg
-73.98480744,40.74871468,5 AV,09bA_nYhsXSwBaOFC4vcKw
-73.98281949,40.67312781,5 AV,VIAaLeGICdZTcM_iyoce_g
-73.95265274,40.79187088,5 AV,bWULcy5g3KVFRc7wsp_YmQ
-73.99219928,40.73764689,5 AV,6PSgpOoWISgwSGN_QWAjMQ
-73.96932305,40.7690243,5 AV,quuK3lJjxnUFRvHiO_mQNg
-73.96939961,40.76892263,5 AV,eRckWhBOB8Ja7rd13U8fIQ
-73.9694529,40.76884853,5 AV,vBeHHd6fF_p1CCtlPjnTTQ
-74.02570035,40.62187207,5 AV,HhO-M5MAR6KSBTNx8-8JCA
-74.01053096,40.64470714,5 AV,oifezzrxAwVdK3ahxc1qLQ
-74.00337626,40.65222486,5 AV,Sp8dTOnVXQ7zrVc5yZS1Sg
-73.99360652,40.73570499,5 AV,da4cn5AHYOKCSQIl1grJqA
-73.99461181,40.66039007,5 AV,bPFctR8tWkjJqpfppWjeTA
-73.97728579,40.75898875,5 AV,bFIBHP86xI47kLFpqyBQXw
-73.8431361,40.7924416,5 AV,CWXrxA9GxVUbb6F8btQCJQ
-73.99137071,40.73938933,5 AV,11eoeBrKKvlGkpr9gIMrHw
-73.98749994,40.75470214,7 AV,VoxTJRZWXtfjoUxN5eq2Ow
-73.99277394,40.74834628,7 AV,_vZJd8S6aNJQgTMVqrqNsg
-74.0020394,40.64687421,7 AV,GVqupl2FvVhYcuHfHH3F4A
-73.99961424,40.64808514,7 AV,YGS3bQ9-mjewTZFzW1XGLg
-73.99605946,40.74321853,7 AV,KrpZhKJRQoD3eUV0iel1MQ
-73.99466656,40.7451567,7 AV,8Yp_3YyXH5KCcnegc0xcDA
-73.99567014,40.74438124,7 AV,CXIKI5LwgWnmkdYh_qzZhQ
-74.00710631,40.64148821,7 AV,GDULPYKtSAAAUBs346pGWw
-74.00412474,40.64436125,7 AV,Ty6OBC_odq0uIqbIooLcRQ
-73.99947975,40.64808769,7 AV,jeLPgyZow4ge9EvijGl1Ug
-74.00800636,40.64063284,7 AV,2ZdwYmcKlpIpDOuPnmrUcQ
-73.84685175,40.79101935,7 AV,bhevDpBTgnjYqpsTRH124A
-74.00605741,40.64211376,7 AV,LhdtypqFgM9yMk0HVCO5yw
-74.01660919,40.6290308,7 AV,Oy5S7gPGG2shS4p3UNDCDQ
-74.01580534,40.63117615,7 AV,a987NW0Wb8m9hLgOgWqMOA
-73.98785394,40.75433738,7 AV,jzcC84bkh2IPQNVdL7e1Uw
-73.8459896,40.79099466,7 AV,PFPITIpTZQT7p8Xp_ogDaQ
-73.8438878,40.79063556,7 AV,HqjyNt4sPwQlSwNmFEurow
-74.0070416,40.64116515,7 AV,0td3lm367zcj9yYUhkXsCw
-73.81572735,40.79507323,7 AV,zO6h016JePjjdryUaZHA6A
-73.98379205,40.66447018,7 AV,3rIMm81MgVgPNwtK4WOARA
-74.00926374,40.63942776,7 AV,16fB12W1xOHPis4IwHgd7Q
-73.82053752,40.79356961,7 AV,-YT5LYnY2G-XKBY0Mt08qQ
-73.99282104,40.74828146,7 AV,2ZBEn2xiCKCe9ZBaSoac2Q
-73.98127393,40.76413526,7 AV,XnhELqozNyouL4SaV50GGQ
-73.81671919,40.79448542,7 AV,88c3YyjETG_K9B9uBC11DA
-73.99619112,40.74304424,7 AV,B5kpYZ7P69kkooIzL5nj4w
-74.02032845,40.6201103,7 AV,BuXa2etNlXJbSpKE5zpxag
-73.84031622,40.79078269,7 AV,Mnwugy8F2uzUUvv4jTpfPA
-74.02093261,40.6197597,7 AV,1b2z2GyM_FlSKY1naNKw6Q
-73.99520752,40.74501575,7 AV,h1IE1rMpwqSN4M1DQyXieQ
-74.02024742,40.62027056,7 AV,b7_IGE-GAvbICY29Ccbg7A
-73.84409209,40.79066331,7 AV,eVlYyKJ887-ImLLsvM3n0w
-73.99054322,40.75141816,7 AV,f4EtjsbMnSg_w4jSaovBpw
-73.81753032,40.7946586,7 AV,OvlU6PZLcGYO3pjUniz0vQ
-73.99343248,40.74743959,7 AV,Okutfzye9IMWDX1-trJ7eQ
-73.82215552,40.7932076,7 AV,-_xt2pNa3FRVxJ8TXXf9JA
-74.02170792,40.61833951,7 AV,HH4nqCwfE31VSBAqabbxlg
-73.99073148,40.75054069,7 AV,nQ13yjyNl9udsrmcEknAFA
-73.81868587,40.79437432,7 AV,sTuEhK1qPleiyJrlpt32Iw
-73.98027632,40.76488109,7 AV,-b2RQcNpdhkaiVkV44Ad4w
